"","Municipal","County","State","Region","Year","No.Unemployed.Avg","No.Employed.Avg","No.Labor.Avg"
"1",NA,"NA County County",NA,"NA County County",1990,906,21944,22850
"2",NA,"NA County County",NA,"NA County County",1991,1000,20738,21738
"3",NA,"NA County County",NA,"NA County County",1992,806,20825,21631
"4",NA,"NA County County",NA,"NA County County",1993,660,21315,21975
"5",NA,"NA County County",NA,"NA County County",1994,581,21644,22225
"6",NA,"NA County County",NA,"NA County County",1995,523,21789,22312
"7",NA,"NA County County",NA,"NA County County",1996,450,22109,22559
"8",NA,"NA County County",NA,"NA County County",1997,417,22601,23018
"9",NA,"NA County County",NA,"NA County County",1998,402,23320,23722
"10",NA,"NA County County",NA,"NA County County",1999,381,23500,23881
"11",NA,"NA County County",NA,"NA County County",2000,453,22884,23337
"12",NA,"NA County County",NA,"NA County County",2001,513,22960,23473
"13",NA,"NA County County",NA,"NA County County",2002,649,22971,23620
"14",NA,"NA County County",NA,"NA County County",2003,795,23247,24042
"15",NA,"NA County County",NA,"NA County County",2004,792,23358,24150
"16",NA,"NA County County",NA,"NA County County",2005,817,23300,24117
"17",NA,"NA County County",NA,"NA County County",2006,798,23563,24361
"18",NA,"NA County County",NA,"NA County County",2007,760,23736,24496
"19",NA,"NA County County",NA,"NA County County",2008,927,23582,24509
"20",NA,"NA County County",NA,"NA County County",2009,1238,23303,24541
"21",NA,"NA County County",NA,"NA County County",2010,1346,23360,24706
"22",NA,"NA County County",NA,"NA County County",2011,1196,23516,24712
"23",NA,"NA County County",NA,"NA County County",2012,1117,23727,24844
"24",NA,"NA County County",NA,"NA County County",1990,937,9205,10142
"25",NA,"NA County County",NA,"NA County County",1991,1360,8742,10102
"26",NA,"NA County County",NA,"NA County County",1992,1284,8693,9977
"27",NA,"NA County County",NA,"NA County County",1993,976,8874,9850
"28",NA,"NA County County",NA,"NA County County",1994,813,8804,9617
"29",NA,"NA County County",NA,"NA County County",1995,672,8647,9319
"30",NA,"NA County County",NA,"NA County County",1996,573,8569,9142
"31",NA,"NA County County",NA,"NA County County",1997,593,8701,9294
"32",NA,"NA County County",NA,"NA County County",1998,492,8763,9255
"33",NA,"NA County County",NA,"NA County County",1999,446,8731,9177
"34",NA,"NA County County",NA,"NA County County",2000,321,10460,10781
"35",NA,"NA County County",NA,"NA County County",2001,446,10261,10707
"36",NA,"NA County County",NA,"NA County County",2002,583,10294,10877
"37",NA,"NA County County",NA,"NA County County",2003,688,10178,10866
"38",NA,"NA County County",NA,"NA County County",2004,643,10038,10681
"39",NA,"NA County County",NA,"NA County County",2005,598,10002,10600
"40",NA,"NA County County",NA,"NA County County",2006,589,9968,10557
"41",NA,"NA County County",NA,"NA County County",2007,599,9896,10495
"42",NA,"NA County County",NA,"NA County County",2008,715,9941,10656
"43",NA,"NA County County",NA,"NA County County",2009,1120,9614,10734
"44",NA,"NA County County",NA,"NA County County",2010,1139,9427,10566
"45",NA,"NA County County",NA,"NA County County",2011,971,9410,10381
"46",NA,"NA County County",NA,"NA County County",2012,903,9441,10344
"47",NA,"NA County County",NA,"NA County County",1990,7526,98177,105703
"48",NA,"NA County County",NA,"NA County County",1991,10516,95388,105904
"49",NA,"NA County County",NA,"NA County County",1992,10853,94815,105668
"50",NA,"NA County County",NA,"NA County County",1993,9550,98352,107902
"51",NA,"NA County County",NA,"NA County County",1994,8615,100723,109338
"52",NA,"NA County County",NA,"NA County County",1995,7330,102940,110270
"53",NA,"NA County County",NA,"NA County County",1996,6373,105366,111739
"54",NA,"NA County County",NA,"NA County County",1997,6126,107632,113758
"55",NA,"NA County County",NA,"NA County County",1998,5205,109894,115099
"56",NA,"NA County County",NA,"NA County County",1999,4650,113383,118033
"57",NA,"NA County County",NA,"NA County County",2000,3988,121133,125121
"58",NA,"NA County County",NA,"NA County County",2001,4628,122595,127223
"59",NA,"NA County County",NA,"NA County County",2002,5934,125112,131046
"60",NA,"NA County County",NA,"NA County County",2003,6836,127730,134566
"61",NA,"NA County County",NA,"NA County County",2004,6592,129091,135683
"62",NA,"NA County County",NA,"NA County County",2005,6371,128771,135142
"63",NA,"NA County County",NA,"NA County County",2006,6457,129143,135600
"64",NA,"NA County County",NA,"NA County County",2007,6252,128402,134654
"65",NA,"NA County County",NA,"NA County County",2008,7717,127660,135377
"66",NA,"NA County County",NA,"NA County County",2009,11204,124237,135441
"67",NA,"NA County County",NA,"NA County County",2010,11796,123695,135491
"68",NA,"NA County County",NA,"NA County County",2011,10595,123577,134172
"69",NA,"NA County County",NA,"NA County County",2012,9645,125650,135295
"70",NA,"NA County County",NA,"NA County County",1990,77622,1383193,1460815
"71",NA,"NA County County",NA,"NA County County",1991,106130,1334082,1440212
"72",NA,"NA County County",NA,"NA County County",1992,107991,1323256,1431247
"73",NA,"NA County County",NA,"NA County County",1993,87901,1338468,1426369
"74",NA,"NA County County",NA,"NA County County",1994,75206,1359901,1435107
"75",NA,"NA County County",NA,"NA County County",1995,67337,1384396,1451733
"76",NA,"NA County County",NA,"NA County County",1996,55671,1411124,1466795
"77",NA,"NA County County",NA,"NA County County",1997,50450,1442867,1493317
"78",NA,"NA County County",NA,"NA County County",1998,41372,1465073,1506445
"79",NA,"NA County County",NA,"NA County County",1999,40765,1479464,1520229
"80",NA,"NA County County",NA,"NA County County",2000,36669,1467251,1503920
"81",NA,"NA County County",NA,"NA County County",2001,51299,1465870,1517169
"82",NA,"NA County County",NA,"NA County County",2002,74993,1438923,1513916
"83",NA,"NA County County",NA,"NA County County",2003,81151,1412958,1494109
"84",NA,"NA County County",NA,"NA County County",2004,70241,1406190,1476431
"85",NA,"NA County County",NA,"NA County County",2005,64003,1413553,1477556
"86",NA,"NA County County",NA,"NA County County",2006,63500,1433097,1496597
"87",NA,"NA County County",NA,"NA County County",2007,59509,1451617,1511126
"88",NA,"NA County County",NA,"NA County County",2008,71612,1460175,1531787
"89",NA,"NA County County",NA,"NA County County",2009,109995,1421519,1531514
"90",NA,"NA County County",NA,"NA County County",2010,110343,1424563,1534906
"91",NA,"NA County County",NA,"NA County County",2011,95180,1443769,1538949
"92",NA,"NA County County",NA,"NA County County",2012,86859,1459579,1546438
"93",NA,"NA County County",NA,"NA County County",1990,137570,2212947,2350517
"94",NA,"NA County County",NA,"NA County County",1991,186312,2133160,2319472
"95",NA,"NA County County",NA,"NA County County",1992,191622,2119559,2311181
