"Municipal","County","State","Region","Year","Unemployment Rate Avg","No Unemployed Avg","No Employed Avg","No Labor Avg"
NA,"NA County",NA,"United States",1990,4,906,21944,22850
NA,"NA County",NA,"United States",1991,4.6,1000,20738,21738
NA,"NA County",NA,"United States",1992,3.7,806,20825,21631
NA,"NA County",NA,"United States",1993,3,660,21315,21975
NA,"NA County",NA,"United States",1994,2.6,581,21644,22225
NA,"NA County",NA,"United States",1995,2.3,523,21789,22312
NA,"NA County",NA,"United States",1996,2,450,22109,22559
NA,"NA County",NA,"United States",1997,1.8,417,22601,23018
NA,"NA County",NA,"United States",1998,1.7,402,23320,23722
NA,"NA County",NA,"United States",1999,1.6,381,23500,23881
NA,"NA County",NA,"United States",2000,1.9,453,22884,23337
NA,"NA County",NA,"United States",2001,2.2,513,22960,23473
NA,"NA County",NA,"United States",2002,2.7,649,22971,23620
NA,"NA County",NA,"United States",2003,3.3,795,23247,24042
NA,"NA County",NA,"United States",2004,3.3,792,23358,24150
NA,"NA County",NA,"United States",2005,3.4,817,23300,24117
NA,"NA County",NA,"United States",2006,3.3,798,23563,24361
NA,"NA County",NA,"United States",2007,3.1,760,23736,24496
NA,"NA County",NA,"United States",2008,3.8,927,23582,24509
NA,"NA County",NA,"United States",2009,5,1238,23303,24541
NA,"NA County",NA,"United States",2010,5.4,1346,23360,24706
NA,"NA County",NA,"United States",2011,4.8,1196,23516,24712
NA,"NA County",NA,"United States",2012,4.5,1117,23727,24844
NA,"NA County",NA,"United States",1990,9.2,937,9205,10142
NA,"NA County",NA,"United States",1991,13.5,1360,8742,10102
NA,"NA County",NA,"United States",1992,12.9,1284,8693,9977
NA,"NA County",NA,"United States",1993,9.9,976,8874,9850
NA,"NA County",NA,"United States",1994,8.5,813,8804,9617
NA,"NA County",NA,"United States",1995,7.2,672,8647,9319
NA,"NA County",NA,"United States",1996,6.3,573,8569,9142
NA,"NA County",NA,"United States",1997,6.4,593,8701,9294
NA,"NA County",NA,"United States",1998,5.3,492,8763,9255
NA,"NA County",NA,"United States",1999,4.9,446,8731,9177
NA,"NA County",NA,"United States",2000,3,321,10460,10781
NA,"NA County",NA,"United States",2001,4.2,446,10261,10707
NA,"NA County",NA,"United States",2002,5.4,583,10294,10877
NA,"NA County",NA,"United States",2003,6.3,688,10178,10866
NA,"NA County",NA,"United States",2004,6,643,10038,10681
NA,"NA County",NA,"United States",2005,5.6,598,10002,10600
NA,"NA County",NA,"United States",2006,5.6,589,9968,10557
NA,"NA County",NA,"United States",2007,5.7,599,9896,10495
NA,"NA County",NA,"United States",2008,6.7,715,9941,10656
NA,"NA County",NA,"United States",2009,10.4,1120,9614,10734
NA,"NA County",NA,"United States",2010,10.8,1139,9427,10566
NA,"NA County",NA,"United States",2011,9.4,971,9410,10381
NA,"NA County",NA,"United States",2012,8.7,903,9441,10344
NA,"NA County",NA,"United States",1990,7.1,7526,98177,105703
NA,"NA County",NA,"United States",1991,9.9,10516,95388,105904
NA,"NA County",NA,"United States",1992,10.3,10853,94815,105668
NA,"NA County",NA,"United States",1993,8.9,9550,98352,107902
NA,"NA County",NA,"United States",1994,7.9,8615,100723,109338
NA,"NA County",NA,"United States",1995,6.6,7330,102940,110270
NA,"NA County",NA,"United States",1996,5.7,6373,105366,111739
NA,"NA County",NA,"United States",1997,5.4,6126,107632,113758
NA,"NA County",NA,"United States",1998,4.5,5205,109894,115099
NA,"NA County",NA,"United States",1999,3.9,4650,113383,118033
NA,"NA County",NA,"United States",2000,3.2,3988,121133,125121
NA,"NA County",NA,"United States",2001,3.6,4628,122595,127223
NA,"NA County",NA,"United States",2002,4.5,5934,125112,131046
NA,"NA County",NA,"United States",2003,5.1,6836,127730,134566
NA,"NA County",NA,"United States",2004,4.9,6592,129091,135683
NA,"NA County",NA,"United States",2005,4.7,6371,128771,135142
NA,"NA County",NA,"United States",2006,4.8,6457,129143,135600
NA,"NA County",NA,"United States",2007,4.6,6252,128402,134654
NA,"NA County",NA,"United States",2008,5.7,7717,127660,135377
NA,"NA County",NA,"United States",2009,8.3,11204,124237,135441
NA,"NA County",NA,"United States",2010,8.7,11796,123695,135491
NA,"NA County",NA,"United States",2011,7.9,10595,123577,134172
NA,"NA County",NA,"United States",2012,7.1,9645,125650,135295
NA,"NA County",NA,"United States",1990,5.3,77622,1383193,1460815
NA,"NA County",NA,"United States",1991,7.4,106130,1334082,1440212
NA,"NA County",NA,"United States",1992,7.5,107991,1323256,1431247
NA,"NA County",NA,"United States",1993,6.2,87901,1338468,1426369
NA,"NA County",NA,"United States",1994,5.2,75206,1359901,1435107
NA,"NA County",NA,"United States",1995,4.6,67337,1384396,1451733
NA,"NA County",NA,"United States",1996,3.8,55671,1411124,1466795
NA,"NA County",NA,"United States",1997,3.4,50450,1442867,1493317
NA,"NA County",NA,"United States",1998,2.7,41372,1465073,1506445
NA,"NA County",NA,"United States",1999,2.7,40765,1479464,1520229
NA,"NA County",NA,"United States",2000,2.4,36669,1467251,1503920
NA,"NA County",NA,"United States",2001,3.4,51299,1465870,1517169
NA,"NA County",NA,"United States",2002,5,74993,1438923,1513916
NA,"NA County",NA,"United States",2003,5.4,81151,1412958,1494109
NA,"NA County",NA,"United States",2004,4.8,70241,1406190,1476431
NA,"NA County",NA,"United States",2005,4.3,64003,1413553,1477556
NA,"NA County",NA,"United States",2006,4.2,63500,1433097,1496597
NA,"NA County",NA,"United States",2007,3.9,59509,1451617,1511126
NA,"NA County",NA,"United States",2008,4.7,71612,1460175,1531787
NA,"NA County",NA,"United States",2009,7.2,109995,1421519,1531514
NA,"NA County",NA,"United States",2010,7.2,110343,1424563,1534906
NA,"NA County",NA,"United States",2011,6.2,95180,1443769,1538949
NA,"NA County",NA,"United States",2012,5.6,86859,1459579,1546438
NA,"NA County",NA,"United States",1990,5.9,137570,2212947,2350517
NA,"NA County",NA,"United States",1991,8,186312,2133160,2319472
NA,"NA County",NA,"United States",1992,8.3,191622,2119559,2311181
NA,"NA County",NA,"United States",1993,6.8,157199,2147283,2304482
NA,"NA County",NA,"United States",1994,5.7,132675,2185249,2317924
NA,"NA County",NA,"United States",1995,5,116263,2223571,2339834
NA,"NA County",NA,"United States",1996,4.1,97804,2273234,2371038
NA,"NA County",NA,"United States",1997,3.7,88674,2332775,2421449
NA,"NA County",NA,"United States",1998,3.1,74741,2374683,2449424
NA,"NA County",NA,"United States",1999,3,74114,2415208,2489322
NA,"NA County",NA,"United States",2000,2.6,63073,2398503,2461576
NA,"NA County",NA,"United States",2001,3.6,89508,2401266,2490774
NA,"NA County",NA,"United States",2002,5.3,131516,2362303,2493819
NA,"NA County",NA,"United States",2003,5.7,140199,2327684,2467883
NA,"NA County",NA,"United States",2004,5,122039,2323266,2445305
NA,"NA County",NA,"United States",2005,4.5,111080,2340282,2451362
NA,"NA County",NA,"United States",2006,4.4,109357,2369185,2478542
NA,"NA County",NA,"United States",2007,4.1,103296,2394508,2497804
NA,"NA County",NA,"United States",2008,4.9,123525,2402597,2526122
NA,"NA County",NA,"United States",2009,7.6,191132,2338517,2529649
NA,"NA County",NA,"United States",2010,7.6,191585,2343974,2535559
NA,"NA County",NA,"United States",2011,6.6,167089,2371219,2538308
NA,"NA County",NA,"United States",2012,6.1,155041,2395537,2550578
NA,"NA County",NA,"United States",1990,6,169482,2662698,2832180
NA,"NA County",NA,"United States",1991,8.2,229633,2565113,2794746
NA,"NA County",NA,"United States",1992,8.4,232555,2552531,2785086
NA,"NA County",NA,"United States",1993,6.8,189356,2589582,2778938
NA,"NA County",NA,"United States",1994,5.7,158890,2633914,2792804
NA,"NA County",NA,"United States",1995,5,140102,2677357,2817459
NA,"NA County",NA,"United States",1996,4.2,118695,2733530,2852225
NA,"NA County",NA,"United States",1997,3.7,107627,2805429,2913056
NA,"NA County",NA,"United States",1998,3.1,91008,2855530,2946538
NA,"NA County",NA,"United States",1999,3,89871,2898956,2988827
NA,"NA County",NA,"United States",2000,2.6,77009,2899702,2976711
NA,"NA County",NA,"United States",2001,3.6,108673,2904697,3013370
NA,"NA County",NA,"United States",2002,5.3,159145,2865234,3024379
NA,"NA County",NA,"United States",2003,5.7,170616,2831883,3002499
NA,"NA County",NA,"United States",2004,5,149360,2830463,2979823
NA,"NA County",NA,"United States",2005,4.6,136925,2849548,2986473
NA,"NA County",NA,"United States",2006,4.5,134816,2884309,3019125
NA,"NA County",NA,"United States",2007,4.2,128263,2912019,3040282
NA,"NA County",NA,"United States",2008,5,152819,2918342,3071161
NA,"NA County",NA,"United States",2009,7.7,236333,2840706,3077039
NA,"NA County",NA,"United States",2010,7.7,237692,2845407,3083099
NA,"NA County",NA,"United States",2011,6.7,208064,2875698,3083762
NA,"NA County",NA,"United States",2012,6.3,193884,2900493,3094377
NA,"NA County",NA,"United States",1990,8,9261,105913,115174
NA,"NA County",NA,"United States",1991,11.5,13136,100939,114075
NA,"NA County",NA,"United States",1992,11.4,12752,99337,112089
NA,"NA County",NA,"United States",1993,8.8,9958,102778,112736
NA,"NA County",NA,"United States",1994,7.1,8245,108487,116732
NA,"NA County",NA,"United States",1995,6.1,7297,111799,119096
NA,"NA County",NA,"United States",1996,5.6,6653,112806,119459
NA,"NA County",NA,"United States",1997,4.8,5866,116575,122441
NA,"NA County",NA,"United States",1998,3.8,4666,117853,122519
NA,"NA County",NA,"United States",1999,3.6,4499,119924,124423
NA,"NA County",NA,"United States",2000,2.9,3517,119720,123237
NA,"NA County",NA,"United States",2001,3.8,4682,119483,124165
NA,"NA County",NA,"United States",2002,5.3,6594,118595,125189
