"","Municipal","County","State","Region","C_year","Period","Unemployment Rate","Number of Unemployed","Number of Employed","Number in Labor Force"
"1","Abington","Plymouth","MA","N/A","1990","Annual Average",7.1,553,7229,7782
"14","Abington","Plymouth","MA","N/A","1991","Annual Average",10.5,818,6938,7756
"27","Abington","Plymouth","MA","N/A","1992","Annual Average",9.8,754,6935,7689
"40","Abington","Plymouth","MA","N/A","1993","Annual Average",7.6,589,7164,7753
"53","Abington","Plymouth","MA","N/A","1994","Annual Average",6.2,510,7690,8200
"66","Abington","Plymouth","MA","N/A","1995","Annual Average",5.6,458,7774,8232
"79","Abington","Plymouth","MA","N/A","1996","Annual Average",5,415,7868,8283
"92","Abington","Plymouth","MA","N/A","1997","Annual Average",4.4,371,8110,8481
"105","Abington","Plymouth","MA","N/A","1998","Annual Average",3.6,309,8163,8472
"118","Abington","Plymouth","MA","N/A","1999","Annual Average",3.1,265,8271,8536
"131","Abington","Plymouth","MA","N/A","2000","Annual Average",2.5,209,8207,8416
"144","Abington","Plymouth","MA","N/A","2001","Annual Average",3.1,269,8279,8548
"157","Abington","Plymouth","MA","N/A","2002","Annual Average",4.4,383,8283,8666
"170","Abington","Plymouth","MA","N/A","2003","Annual Average",5.2,464,8515,8979
"183","Abington","Plymouth","MA","N/A","2004","Annual Average",5.1,465,8602,9067
"196","Abington","Plymouth","MA","N/A","2005","Annual Average",4.8,441,8676,9117
"209","Abington","Plymouth","MA","N/A","2006","Annual Average",4.7,436,8803,9239
"222","Abington","Plymouth","MA","N/A","2007","Annual Average",4.6,430,8917,9347
"235","Abington","Plymouth","MA","N/A","2008","Annual Average",5.4,513,9030,9543
"248","Abington","Plymouth","MA","N/A","2009","Annual Average",8.6,821,8778,9599
"261","Abington","Plymouth","MA","N/A","2010","Annual Average",8.9,811,8349,9160
"274","Abington","Plymouth","MA","N/A","2011","Annual Average",7.8,708,8427,9135
"287","Abington","Plymouth","MA","N/A","2012","Annual Average",7,642,8502,9144
"308","Acton","Middlesex","MA","N/A","1990","Annual Average",3.1,322,10147,10469
"321","Acton","Middlesex","MA","N/A","1991","Annual Average",4.5,461,9727,10188
"334","Acton","Middlesex","MA","N/A","1992","Annual Average",5.1,523,9800,10323
"347","Acton","Middlesex","MA","N/A","1993","Annual Average",4.6,481,10056,10537
"360","Acton","Middlesex","MA","N/A","1994","Annual Average",3.7,389,10238,10627
"373","Acton","Middlesex","MA","N/A","1995","Annual Average",3.2,347,10469,10816
"386","Acton","Middlesex","MA","N/A","1996","Annual Average",2.1,230,10782,11012
"399","Acton","Middlesex","MA","N/A","1997","Annual Average",2,230,11118,11348
"412","Acton","Middlesex","MA","N/A","1998","Annual Average",1.7,193,11350,11543
"425","Acton","Middlesex","MA","N/A","1999","Annual Average",1.9,229,11531,11760
"438","Acton","Middlesex","MA","N/A","2000","Annual Average",1.6,185,11454,11639
"451","Acton","Middlesex","MA","N/A","2001","Annual Average",2.9,348,11559,11907
"464","Acton","Middlesex","MA","N/A","2002","Annual Average",4.9,590,11388,11978
"477","Acton","Middlesex","MA","N/A","2003","Annual Average",4.9,573,11213,11786
"490","Acton","Middlesex","MA","N/A","2004","Annual Average",3.7,435,11166,11601
"503","Acton","Middlesex","MA","N/A","2005","Annual Average",3.4,394,11231,11625
"516","Acton","Middlesex","MA","N/A","2006","Annual Average",3.4,388,11112,11500
"529","Acton","Middlesex","MA","N/A","2007","Annual Average",3,350,11255,11605
"542","Acton","Middlesex","MA","N/A","2008","Annual Average",3.5,414,11306,11720
"555","Acton","Middlesex","MA","N/A","2009","Annual Average",5.9,688,11066,11754
"568","Acton","Middlesex","MA","N/A","2010","Annual Average",5.6,683,11598,12281
"581","Acton","Middlesex","MA","N/A","2011","Annual Average",4.7,576,11769,12345
"594","Acton","Middlesex","MA","N/A","2012","Annual Average",4.3,535,11898,12433
"615","Acushnet","Bristol","MA","N/A","1990","Annual Average",8.1,426,4859,5285
"628","Acushnet","Bristol","MA","N/A","1991","Annual Average",12.1,654,4761,5415
"641","Acushnet","Bristol","MA","N/A","1992","Annual Average",10.5,571,4855,5426
"654","Acushnet","Bristol","MA","N/A","1993","Annual Average",9.5,523,4975,5498
"667","Acushnet","Bristol","MA","N/A","1994","Annual Average",8.9,492,5053,5545
"680","Acushnet","Bristol","MA","N/A","1995","Annual Average",8.8,470,4877,5347
"693","Acushnet","Bristol","MA","N/A","1996","Annual Average",7.5,395,4876,5271
"706","Acushnet","Bristol","MA","N/A","1997","Annual Average",6.4,347,5033,5380
"719","Acushnet","Bristol","MA","N/A","1998","Annual Average",5.1,285,5268,5553
"732","Acushnet","Bristol","MA","N/A","1999","Annual Average",4.3,241,5390,5631
"745","Acushnet","Bristol","MA","N/A","2000","Annual Average",3.4,189,5444,5633
"758","Acushnet","Bristol","MA","N/A","2001","Annual Average",4.1,234,5426,5660
"771","Acushnet","Bristol","MA","N/A","2002","Annual Average",5.6,325,5514,5839
"784","Acushnet","Bristol","MA","N/A","2003","Annual Average",6.4,374,5433,5807
"797","Acushnet","Bristol","MA","N/A","2004","Annual Average",5.5,321,5473,5794
"810","Acushnet","Bristol","MA","N/A","2005","Annual Average",5.8,341,5543,5884
"823","Acushnet","Bristol","MA","N/A","2006","Annual Average",5.7,343,5625,5968
"836","Acushnet","Bristol","MA","N/A","2007","Annual Average",5.4,322,5600,5922
"849","Acushnet","Bristol","MA","N/A","2008","Annual Average",6.4,373,5414,5787
"862","Acushnet","Bristol","MA","N/A","2009","Annual Average",9.9,579,5265,5844
