"Municipal","County","State","Region","Year","Unemployment_Rate_Avg","No_Unemployed_Avg","No_Employed_Avg","No_Labor_Avg","Labor_Pct_Change"
NA,"NA County","MA","MA",2003,5.8,197648,3209062,3406710,0
NA,"NA County","MA","MA",2004,5.2,176839,3203810,3380649,-0.8
NA,"NA County","MA","MA",2005,4.8,163579,3219717,3383296,-0.7
NA,"NA County","MA","MA",2006,4.8,162495,3255504,3417999,0.3
NA,"NA County","MA","MA",2007,4.5,154422,3276532,3430954,0.7
NA,"NA County","MA","MA",2008,5.3,185177,3277934,3463111,1.7
NA,"NA County","MA","MA",2009,8.2,283193,3187538,3470731,1.9
NA,"NA County","MA","MA",2010,8.3,287549,3187622,3475171,2
NA,"NA County","MA","MA",2011,7.3,253592,3216160,3469752,1.9
NA,"NA County","MA","MA",2012,6.7,233684,3241762,3475446,2
"Abington","Plymouth County","MA","Abington",2003,5.2,464,8515,8979,0
"Abington","Plymouth County","MA","Abington",2004,5.1,465,8602,9067,1
"Abington","Plymouth County","MA","Abington",2005,4.8,441,8676,9117,1.5
"Abington","Plymouth County","MA","Abington",2006,4.7,436,8803,9239,2.9
"Abington","Plymouth County","MA","Abington",2007,4.6,430,8917,9347,4.1
"Abington","Plymouth County","MA","Abington",2008,5.4,513,9030,9543,6.3
"Abington","Plymouth County","MA","Abington",2009,8.6,821,8778,9599,6.9
"Abington","Plymouth County","MA","Abington",2010,8.9,811,8349,9160,2
"Abington","Plymouth County","MA","Abington",2011,7.8,708,8427,9135,1.7
"Abington","Plymouth County","MA","Abington",2012,7,642,8502,9144,1.8
"Acton","Middlesex County","MA","Acton",2003,4.9,573,11213,11786,0
"Acton","Middlesex County","MA","Acton",2004,3.7,435,11166,11601,-1.6
"Acton","Middlesex County","MA","Acton",2005,3.4,394,11231,11625,-1.4
"Acton","Middlesex County","MA","Acton",2006,3.4,388,11112,11500,-2.4
"Acton","Middlesex County","MA","Acton",2007,3,350,11255,11605,-1.5
"Acton","Middlesex County","MA","Acton",2008,3.5,414,11306,11720,-0.6
"Acton","Middlesex County","MA","Acton",2009,5.9,688,11066,11754,-0.3
"Acton","Middlesex County","MA","Acton",2010,5.6,683,11598,12281,4.2
"Acton","Middlesex County","MA","Acton",2011,4.7,576,11769,12345,4.7
