"","Municipal","County","State","Region","Year","Unemployment Rate (Avg)","Number of Unemployed (Avg)","Number of Employed (Avg)","Number in Labor Force (Avg)"
"7260",NA,"NA County",NA,"United States",1990,4,906,21944,22850
"7261",NA,"NA County",NA,"United States",1991,4.6,1000,20738,21738
"7262",NA,"NA County",NA,"United States",1992,3.7,806,20825,21631
"7263",NA,"NA County",NA,"United States",1993,3,660,21315,21975
"7264",NA,"NA County",NA,"United States",1994,2.6,581,21644,22225
"7265",NA,"NA County",NA,"United States",1995,2.3,523,21789,22312
"7266",NA,"NA County",NA,"United States",1996,2,450,22109,22559
"7267",NA,"NA County",NA,"United States",1997,1.8,417,22601,23018
"7268",NA,"NA County",NA,"United States",1998,1.7,402,23320,23722
"7269",NA,"NA County",NA,"United States",1999,1.6,381,23500,23881
"7270",NA,"NA County",NA,"United States",2000,1.9,453,22884,23337
"7271",NA,"NA County",NA,"United States",2001,2.2,513,22960,23473
"7272",NA,"NA County",NA,"United States",2002,2.7,649,22971,23620
"7273",NA,"NA County",NA,"United States",2003,3.3,795,23247,24042
"7274",NA,"NA County",NA,"United States",2004,3.3,792,23358,24150
"7275",NA,"NA County",NA,"United States",2005,3.4,817,23300,24117
"7276",NA,"NA County",NA,"United States",2006,3.3,798,23563,24361
"7277",NA,"NA County",NA,"United States",2007,3.1,760,23736,24496
"7278",NA,"NA County",NA,"United States",2008,3.8,927,23582,24509
"7279",NA,"NA County",NA,"United States",2009,5,1238,23303,24541
"7280",NA,"NA County",NA,"United States",2010,5.4,1346,23360,24706
"7281",NA,"NA County",NA,"United States",2011,4.8,1196,23516,24712
"7282",NA,"NA County",NA,"United States",2012,4.5,1117,23727,24844
"7283",NA,"NA County",NA,"United States",1990,9.2,937,9205,10142
"7284",NA,"NA County",NA,"United States",1991,13.5,1360,8742,10102
"7285",NA,"NA County",NA,"United States",1992,12.9,1284,8693,9977
"7286",NA,"NA County",NA,"United States",1993,9.9,976,8874,9850
"7287",NA,"NA County",NA,"United States",1994,8.5,813,8804,9617
"7288",NA,"NA County",NA,"United States",1995,7.2,672,8647,9319
"7289",NA,"NA County",NA,"United States",1996,6.3,573,8569,9142
"7290",NA,"NA County",NA,"United States",1997,6.4,593,8701,9294
"7291",NA,"NA County",NA,"United States",1998,5.3,492,8763,9255
"7292",NA,"NA County",NA,"United States",1999,4.9,446,8731,9177
"7293",NA,"NA County",NA,"United States",2000,3,321,10460,10781
"7294",NA,"NA County",NA,"United States",2001,4.2,446,10261,10707
"7295",NA,"NA County",NA,"United States",2002,5.4,583,10294,10877
"7296",NA,"NA County",NA,"United States",2003,6.3,688,10178,10866
"7297",NA,"NA County",NA,"United States",2004,6,643,10038,10681
"7298",NA,"NA County",NA,"United States",2005,5.6,598,10002,10600
"7299",NA,"NA County",NA,"United States",2006,5.6,589,9968,10557
"7300",NA,"NA County",NA,"United States",2007,5.7,599,9896,10495
"7301",NA,"NA County",NA,"United States",2008,6.7,715,9941,10656
"7302",NA,"NA County",NA,"United States",2009,10.4,1120,9614,10734
"7303",NA,"NA County",NA,"United States",2010,10.8,1139,9427,10566
"7304",NA,"NA County",NA,"United States",2011,9.4,971,9410,10381
"7305",NA,"NA County",NA,"United States",2012,8.7,903,9441,10344
"7306",NA,"NA County",NA,"United States",1990,7.1,7526,98177,105703
"7307",NA,"NA County",NA,"United States",1991,9.9,10516,95388,105904
"7308",NA,"NA County",NA,"United States",1992,10.3,10853,94815,105668
"7309",NA,"NA County",NA,"United States",1993,8.9,9550,98352,107902
"7310",NA,"NA County",NA,"United States",1994,7.9,8615,100723,109338
