"","Municipal","County","State","Region","Year","Unemployment_Rate_Avg","No_Unemployed_Avg","No_Employed_Avg","No_Labor_Avg","Labor_Pct_Change"
"1","Abington town, MA",NA,"MA","Abington",2013,7.05,645,8505.5,9150.5,NA
"2","Acton town, MA",NA,"MA","Acton",2013,4.175,522,11967.625,12489.625,NA
"3","Acushnet town, MA",NA,"MA","Acushnet",2013,9.5375,555.25,5265.375,5820.625,NA
"4","Adams town, MA",NA,"MA","Adams",2013,8.95,389.875,3966.375,4356.25,NA
"5","Agawam Town city, MA",NA,"MA","Agawam",2013,7.1125,1082.5,14146.75,15229.25,NA
"6","Alford town, MA",NA,"MA","Alford",2013,3.7375,10.625,273.25,283.875,NA
"7","Amesbury Town city, MA",NA,"MA","Amesbury",2013,6.4,565.625,8278.5,8844.125,NA
"8","Amherst Center, MA Micropolitan NECTA",NA,"MA","Amherst Center, MA Micropolitan NECTA",2013,5.425,1289.25,22892.875,24182.125,NA
"9","Amherst town, MA",NA,"MA","Amherst",2013,5.4625,1035.375,18254.125,19289.5,NA
"10","Andover town, MA",NA,"MA","Andover",2013,5.075,864.125,16112.125,16976.25,NA
"11","Aquinnah town, MA",NA,"MA","Aquinnah",2013,6.575,14.125,209.25,223.375,NA
"12","Arlington town, MA",NA,"MA","Arlington",2013,4.6,1173.25,24365.375,25538.625,NA
"13","Ashburnham town, MA",NA,"MA","Ashburnham",2013,7.925,247,2868,3115,NA
"14","Ashby town, MA",NA,"MA","Ashby",2013,9.0125,149.125,1504.75,1653.875,NA
"15","Ashfield town, MA",NA,"MA","Ashfield",2013,5.075,51.375,957.875,1009.25,NA
"16","Ashland town, MA",NA,"MA","Ashland",2013,5.0125,496.375,9429.75,9926.125,NA
"17","Athol town, MA",NA,"MA","Athol",2013,9.8125,511.875,4699,5210.875,NA
"18","Athol, MA Micropolitan NECTA",NA,"MA","Athol, MA Micropolitan NECTA",2013,9.175,947.375,9385.625,10333,NA
"19","Attleboro city, MA",NA,"MA","Attleboro city, MA",2013,8.875,2184.625,22450.25,24634.875,NA
"20","Auburn town, MA",NA,"MA","Auburn",2013,7.4,639.875,7995.5,8635.375,NA
"21","Avon town, MA",NA,"MA","Avon",2013,7.5,173.875,2150.125,2324,NA
"22","Ayer town, MA",NA,"MA","Ayer",2013,6.2875,271.625,4049.125,4320.75,NA
"23","Barnstable County, MA",NA,"MA","Barnstable County, MA",2013,7.4875,9093.875,114147.125,123241,NA
"24","Barnstable Town city, MA",NA,"MA","Barnstable",2013,6.675,1762.5,24962,26724.5,NA
"25","Barnstable Town, MA Metropolitan NECTA",NA,"MA","Barnstable",2013,7.225,9828.5,127605.875,137434.375,NA
"26","Barre town, MA",NA,"MA","Barre",2013,8.5875,234.75,2501.375,2736.125,NA
"27","Becket town, MA",NA,"MA","Becket",2013,7.3375,71.5,900.625,972.125,NA
"28","Bedford town, MA",NA,"MA","Bedford",2013,5.1625,367.375,6728,7095.375,NA
"29","Belchertown town, MA",NA,"MA","Belchertown",2013,6.0375,494.375,7682.625,8177,NA
"30","Bellingham town, MA",NA,"MA","Bellingham",2013,8.625,858.5,9080.125,9938.625,NA
"31","Belmont town, MA",NA,"MA","Belmont",2013,4.275,583.875,13052.5,13636.375,NA
"32","Berkley town, MA",NA,"MA","Berkley",2013,6.025,223.625,3484,3707.625,NA
"33","Berkshire County, MA",NA,"MA","Berkshire County, MA",2013,7,4959.375,65750.625,70710,NA
"34","Berlin town, MA",NA,"MA","Berlin",2013,4.9375,78.5,1503.25,1581.75,NA
"35","Bernardston town, MA",NA,"MA","Bernardston",2013,6.025,69.875,1088.125,1158,NA
"36","Beverly city, MA",NA,"MA","Beverly city, MA",2013,5.9625,1299.125,20444.25,21743.375,NA
