SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016
40,25,0,0,0,0,0,A,Massachusetts,Massachusetts,6547629,6547813,6565524,6611923,6658008,6706786,6749911,6784240,6811779
162,25,0,840,0,0,0,A,Agawam Town city,Massachusetts,28438,28438,28448,28584,28621,28664,28697,28742,28718
162,25,0,1260,0,0,0,A,Amesbury Town city,Massachusetts,16283,16283,16324,16448,16571,16788,17284,17378,17430
162,25,0,2690,0,0,0,A,Attleboro city,Massachusetts,43593,43593,43613,43691,43842,43941,44106,44285,44434
162,25,0,3690,0,0,0,A,Barnstable Town city,Massachusetts,45193,45189,45151,44850,44743,44612,44535,44362,44254
162,25,0,5595,0,0,0,A,Beverly city,Massachusetts,39502,39502,39725,40058,40324,40749,41059,41340,41365
162,25,0,7000,0,0,0,A,Boston city,Massachusetts,617594,617668,620701,630195,641911,651090,659180,665984,673184
162,25,0,7740,0,0,0,A,Braintree Town city,Massachusetts,35744,35726,35817,36095,36463,36942,37346,37334,37297
162,25,0,9000,0,0,0,A,Brockton city,Massachusetts,93810,93763,93812,94074,93987,94324,94732,95327,95630
162,25,0,11000,0,0,0,A,Cambridge city,Massachusetts,105162,105201,105019,105770,106044,107640,109532,109856,110651
162,25,0,13205,0,0,0,A,Chelsea city,Massachusetts,35177,35177,35310,36131,36711,37355,38205,39278,39699
162,25,0,13660,0,0,0,A,Chicopee city,Massachusetts,55298,55298,55308,55644,55910,56046,56480,56154,55991
162,25,0,19370,0,0,0,A,Easthampton Town city,Massachusetts,16053,16053,16049,16069,16100,16063,16046,16006,16059
162,25,0,21990,0,0,0,A,Everett city,Massachusetts,41667,41667,41774,42296,42853,43447,44656,45918,46340
162,25,0,23000,0,0,0,A,Fall River city,Massachusetts,88857,88857,88866,88778,88779,88835,88875,89026,88930
162,25,0,23875,0,0,0,A,Fitchburg city,Massachusetts,40318,40318,40423,40375,40417,40437,40467,40464,40414
162,25,0,25172,0,0,0,A,Franklin Town city,Massachusetts,31635,31633,31857,32238,32438,32753,32965,33091,33150
162,25,0,25485,0,0,0,A,Gardner city,Massachusetts,20228,20228,20164,20197,20317,20347,20255,20417,20430
162,25,0,26150,0,0,0,A,Gloucester city,Massachusetts,28789,28789,28865,29018,29208,29420,29583,29740,29798
162,25,0,27100,0,0,0,A,Greenfield Town city,Massachusetts,17456,17456,17422,17589,17583,17427,17533,17385,17456
162,25,0,29405,0,0,0,A,Haverhill city,Massachusetts,60879,60879,60981,61429,61737,62080,62340,62611,62873
162,25,0,30840,0,0,0,A,Holyoke city,Massachusetts,39880,39880,39904,40084,40124,40064,40618,40292,40280
162,25,0,34550,0,0,0,A,Lawrence city,Massachusetts,76377,76380,76605,77396,78133,78674,79502,80159,80209
162,25,0,35075,0,0,0,A,Leominster city,Massachusetts,40759,40759,40776,40887,40905,41068,41405,41468,41663
162,25,0,37000,0,0,0,A,Lowell city,Massachusetts,106519,106519,106733,107586,108562,109578,110053,110656,110558
162,25,0,37490,0,0,0,A,Lynn city,Massachusetts,90329,90329,90513,90595,91228,91696,92069,92673,92697
162,25,0,37875,0,0,0,A,Malden city,Massachusetts,59450,59463,59589,59946,60355,60723,60819,60967,60840
162,25,0,38715,0,0,0,A,Marlborough city,Massachusetts,38499,38499,38569,38893,39255,39451,39581,39703,39697
162,25,0,39835,0,0,0,A,Medford city,Massachusetts,56173,56164,56258,56596,56982,57139,57116,57333,57213
162,25,0,40115,0,0,0,A,Melrose city,Massachusetts,26983,26987,27042,27258,27456,27756,27902,27906,27928
162,25,0,40710,0,0,0,A,Methuen Town city,Massachusetts,47255,47252,47362,47693,48002,48545,49168,49595,49917
162,25,0,45000,0,0,0,A,New Bedford city,Massachusetts,95072,95066,95042,94841,94909,95096,95029,94975,95032
162,25,0,45245,0,0,0,A,Newburyport city,Massachusetts,17416,17416,17450,17549,17628,17777,17881,17938,17987
162,25,0,45560,0,0,0,A,Newton city,Massachusetts,85146,85119,85405,85897,87186,87786,88510,88978,89045
162,25,0,46225,0,0,0,A,North Adams city,Massachusetts,13708,13708,13782,13643,13608,13463,13361,13185,13064
162,25,0,46330,0,0,0,A,Northampton city,Massachusetts,28549,28549,28634,28700,28696,28547,28520,28368,28483
162,25,0,52144,0,0,0,A,Palmer Town city,Massachusetts,12140,12134,12133,12149,12149,12148,12160,12149,12108
162,25,0,52490,0,0,0,A,Peabody city,Massachusetts,51251,51251,51375,51570,51809,52085,52256,52423,52491
162,25,0,53960,0,0,0,A,Pittsfield city,Massachusetts,44737,44737,44691,44374,44301,44041,43678,43238,42846
162,25,0,55745,0,0,0,A,Quincy city,Massachusetts,92271,92266,92455,92524,92866,93305,93384,93462,93688
162,25,0,56585,0,0,0,A,Revere city,Massachusetts,51755,51737,51829,52529,52970,53265,53142,53307,53157
