"","Municipal","County","State","Region","BA002_001","BA002_002","BA002_003","BA002_004","BA002_005","BA002_006","BA002_007","BA002_008","BA002_009","BA002_010","BA002_011","BA002_012","BA002_013","BA002_014","BA002_015","BA002_016","BA002_017","BA002_018","BA002_019","BA002_020","BA002_021","BA002_022","BA002_023","BA002_024","BA002_025","BA002_026","BA002_027","BA002_028","BA002_029","BA002_030","BA002_031","BA002_032","BA002_033","BA002_034","BA002_035","BA002_036","BA002_037","BA002_038","BA002_039","BA002_040","BA002_041","BA002_042","BA002_043","BA002_044","BA002_045","BA002_046","BA002_047","BA002_048","BA002_049","BA002_050","BA002_051","BA002_052","BA002_053","BA002_054","BA002_055","BA002_056","BA002_057","BA002_058","BA002_059","BA002_060","BA002_061","BA002_062","BA002_063","BA002_064","BA002_065","BA002_066","BA002_067","BA002_068","BA002_069","BA002_070","BA002_071","BA002_072","BA002_073","BA002_074","BA002_075","BA002_076","BA002_077","BA002_078","BA002_079","BA002_080","BA002_081","BA002_082","BA002_083","BA002_084","BA002_085","BA002_086","BA002_087","BA002_088","BA002_089","BA002_090","BA002_091","BA002_092","BA002_093","BA002_094","BA002_095","BA002_096","BA002_097","BA002_098","BA002_099","BA002_100","BA002_101","BA002_102","BA002_103","BA002_104","BA002_105","BA002_106","BA002_107","BA002_108","BA002_109","BA002_110","BA002_111","BA002_112","BA002_113","BA002_114","BA002_115","BA002_116","BA002_117","BA002_118","BA002_119","BA002_120","BA002_121","BA002_122","BA002_123"
"1","N/A","N/A","N/A","United States","2006-2010","0100000US","","United States","114235996","248114","(X)","76254318","230785","66.8","0.1","37981678","38604","33.2","0.1","38750454","186691","33.9","0.1","27391095","102415","24","0.1","2.59","0.01","(X)","(X)","3.17","0.01","(X)","(X)","118264295","7454","(X)","40461438","167327","34.2","0.1","61745693","257090","52.2","0.2","2137849","19734","1.8","0.1","2977072","12238","2.5","0.1","10942243","79362","9.3","0.1","124809173","6226","(X)","34856779","131952","27.9","0.1","60343650","212078","48.3","0.2","3124997","25166","2.5","0.1","11925452","24439","9.6","0.1","14558295","76773","11.7","0.1","199726659","18056","(X)","12435227","63874","6.2","0.1","17463256","67801","8.7","0.1","57903353","183279","29","0.1","41175904","57855","20.6","0.1","15021920","34737","7.5","0.1","35148428","127668","17.6","0.1","20578571","125036","10.3","0.1","(X)","(X)","85","0.1","(X)","(X)","27.9","0.1","228808831","8528","(X)","22652496","32162","9.9","0.1"
"2","N/A","N/A","MA","N/A","2006-2010","0400000US25","25","Massachusetts","2512552","5217","(X)","1600588","6292","63.7","0.2","911964","4868","36.3","0.2","801499","4509","31.9","0.2","623913","2986","24.8","0.1","2.48","0.01","(X)","(X)","3.09","0.01","(X)","(X)","2536607","444","(X)","951729","6463","37.5","0.3","1287165","7661","50.7","0.3","38976","1630","1.5","0.1","66680","1559","2.6","0.1","192057","2966","7.6","0.1","2774635","407","(X)","889066","5450","32","0.2","1269432","7218","45.8","0.3","63333","2096","2.3","0.1","262934","2506","9.5","0.1","289870","3922","10.4","0.1","4382378","675","(X)","213161","3241","4.9","0.1","282661","4697","6.4","0.1","1171725","8160","26.7","0.2","701624","5069","16","0.1","334998","3959","7.6","0.1","961563","7010","21.9","0.2","716646","5682","16.4","0.1","(X)","(X)","88.7","0.1","(X)","(X)","38.3","0.2","5039038","604","(X)","425979","3404","8.5","0.1"
"3","N/A","Barnstable","MA","N/A","2006-2010","0500000US25001","25001","Barnstable County, Massachusetts","98164","1196","(X)","61766","1094","62.9","1","36398","1150","37.1","1","22438","726","22.9","0.7","36528","466","37.2","0.5","2.17","0.02","(X)","(X)","2.71","0.04","(X)","(X)","87824","99","(X)","24359","896","27.7","1","51824","1061","59","1.2","905","224","1","0.3","2896","313","3.3","0.4","7840","537","8.9","0.6","98649","115","(X)","20014","735","20.3","0.7","52846","995","53.6","1","1444","257","1.5","0.3","12103","609","12.3","0.6","12242","694","12.4","0.7","164152","254","(X)","2345","323","1.4","0.2","6284","587","3.8","0.4","41346","1488","25.2","0.9","32114","1261","19.6","0.8","15547","785","9.5","0.5","40015","1328","24.4","0.8","26501","982","16.1","0.6","(X)","(X)","94.7","0.4","(X)","(X)","40.5","1","177640","209","(X)","25566","741","14.4","0.4"
"4","N/A","Berkshire","MA","N/A","2006-2010","0500000US25003","25003","Berkshire County, Massachusetts","55623","649","(X)","33202","677","59.7","1.1","22421","700","40.3","1.1","14837","479","26.7","0.8","17256","358","31","0.6","2.26","0.02","(X)","(X)","2.9","0.05","(X)","(X)","52641","105","(X)","18428","479","35","0.9","25405","675","48.3","1.3","990","233","1.9","0.4","2018","260","3.8","0.5","5800","511","11","1","58112","117","(X)","16293","566","28","1","25578","724","44","1.3","1235","237","2.1","0.4","7197","439","12.4","0.8","7809","521","13.4","0.9","93038","194","(X)","2627","331","2.8","0.4","6534","540","7","0.6","30946","937","33.3","1","17699","745","19","0.8","7710","530","8.3","0.6","15787","817","17","0.9","11735","736","12.6","0.8","(X)","(X)","90.2","0.7","(X)","(X)","29.6","1.2","105100","61","(X)","11713","524","11.1","0.5"
"5","N/A","Bristol","MA","N/A","2006-2010","0500000US25005","25005","Bristol County, Massachusetts","210789","1269","(X)","142126","1509","67.4","0.6","68663","1443","32.6","0.6","71466","1239","33.9","0.6","53248","577","25.3","0.2","2.52","0.01","(X)","(X)","3.07","0.02","(X)","(X)","212635","117","(X)","73478","1308","34.6","0.6","109790","1720","51.6","0.8","3948","437","1.9","0.2","6819","479","3.2","0.2","18600","998","8.7","0.5","232362","36","(X)","67795","1157","29.2","0.5","106835","1761","46","0.8","5948","588","2.6","0.3","25402","869","10.9","0.4","26382","922","11.4","0.4","370326","79","(X)","35830","1252","9.7","0.3","37847","1371","10.2","0.4","112136","1945","30.3","0.5","61293","1638","16.6","0.4","31701","1014","8.6","0.3","61695","1536","16.7","0.4","29824","1138","8.1","0.3","(X)","(X)","80.1","0.5","(X)","(X)","24.7","0.5","421000","250","(X)","37276","1146","8.9","0.3"
"6","N/A","Dukes","MA","N/A","2006-2010","0500000US25007","25007","Dukes County, Massachusetts","5530","401","(X)","3697","337","66.9","4.2","1833","275","33.1","4.2","1450","255","26.2","3.7","1769","119","32","2.5","2.92","0.21","(X)","(X)","3.58","0.29","(X)","(X)","6673","*****","(X)","2382","291","35.7","4.4","3205","319","48","4.8","130","91","1.9","1.4","144","78","2.2","1.2","812","305","12.2","4.6","6958","*****","(X)","2003","388","28.8","5.6","3297","437","47.4","6.3","117","83","1.7","1.2","678","138","9.7","2","863","242","12.4","3.5","11298","449","(X)","163","99","1.4","0.9","575","237","5.1","2","3176","552","28.1","4.4","2261","410","20","3.7","602","158","5.3","1.4","2471","398","21.9","3.5","2050","303","18.1","2.8","(X)","(X)","93.5","2.4","(X)","(X)","40","4.6","13005","4","(X)","1343","204","10.3","1.6"
"7","N/A","Essex","MA","N/A","2006-2010","0500000US25009","25009","Essex County, Massachusetts","282913","1273","(X)","186912","1637","66.1","0.5","96001","1612","33.9","0.5","96082","1400","34","0.5","72610","895","25.7","0.3","2.55","0.01","(X)","(X)","3.16","0.02","(X)","(X)","280972","122","(X)","96854","1324","34.5","0.5","149119","1548","53.1","0.6","4644","586","1.7","0.2","8611","580","3.1","0.2","21744","914","7.7","0.3","313559","90","(X)","91940","1527","29.3","0.5","146417","1748","46.7","0.6","8284","728","2.6","0.2","31223","941","10","0.3","35695","1087","11.4","0.3","498319","127","(X)","26766","1153","5.4","0.2","32173","1435","6.5","0.3","133752","2304","26.8","0.5","84619","1999","17","0.4","40937","1279","8.2","0.3","108384","2095","21.7","0.4","71688","1619","14.4","0.3","(X)","(X)","88.2","0.4","(X)","(X)","36.1","0.5","561417","150","(X)","47802","1164","8.5","0.2"
"8","N/A","Franklin","MA","N/A","2006-2010","0500000US25011","25011","Franklin County, Massachusetts","30447","429","(X)","18999","466","62.4","1.4","11448","489","37.6","1.4","8909","346","29.3","1.1","7467","206","24.5","0.7","2.32","0.02","(X)","(X)","2.84","0.05","(X)","(X)","29046","105","(X)","9409","358","32.4","1.2","15124","476","52.1","1.6","473","150","1.6","0.5","754","149","2.6","0.5","3286","363","11.3","1.3","30974","85","(X)","8331","421","26.9","1.4","14574","497","47.1","1.6","740","177","2.4","0.6","2960","236","9.6","0.8","4369","344","14.1","1.1","51066","126","(X)","1141","240","2.2","0.5","3406","370","6.7","0.7","15686","732","30.7","1.4","9364","453","18.3","0.9","4863","407","9.5","0.8","9283","537","18.2","1.1","7323","438","14.3","0.9","(X)","(X)","91.1","0.9","(X)","(X)","32.5","1.4","56982","22","(X)","6672","371","11.7","0.7"
"9","N/A","Hampden","MA","N/A","2006-2010","0500000US25013","25013","Hampden County, Massachusetts","177725","1188","(X)","114476","1466","64.4","0.8","63249","1597","35.6","0.8","59677","1190","33.6","0.6","46510","637","26.2","0.3","2.51","0.01","(X)","(X)","3.13","0.03","(X)","(X)","176485","19","(X)","68229","1373","38.7","0.8","83423","1511","47.3","0.9","3770","445","2.1","0.3","5599","464","3.2","0.3","15464","866","8.8","0.5","196193","20","(X)","64193","1069","32.7","0.5","81514","1488","41.5","0.8","6527","530","3.3","0.3","20593","716","10.5","0.4","23366","1015","11.9","0.5","302877","121","(X)","19836","1015","6.5","0.3","30903","1151","10.2","0.4","99434","1934","32.8","0.6","53804","1491","17.8","0.5","26958","989","8.9","0.3","45230","1389","14.9","0.5","26712","925","8.8","0.3","(X)","(X)","83.2","0.5","(X)","(X)","23.8","0.5","350495","152","(X)","35687","1042","10.2","0.3"
"10","N/A","Hampshire","MA","N/A","2006-2010","0500000US25015","25015","Hampshire County, Massachusetts","58612","1002","(X)","34684","595","59.2","1","23928","854","40.8","1","16345","521","27.9","0.9","14508","385","24.8","0.7","2.3","0.02","(X)","(X)","2.88","0.03","(X)","(X)","62461","196","(X)","26670","586","42.7","0.9","28387","770","45.4","1.2","717","184","1.1","0.3","1693","226","2.7","0.4","4994","468","8","0.7","72930","192","(X)","30436","605","41.7","0.8","28110","747","38.5","1","1028","205","1.4","0.3","5880","360","8.1","0.5","7476","504","10.3","0.7","96015","195","(X)","2155","346","2.2","0.4","5173","502","5.4","0.5","24527","992","25.5","1","15790","805","16.4","0.8","8708","521","9.1","0.5","19683","828","20.5","0.9","19979","927","20.8","1","(X)","(X)","92.4","0.6","(X)","(X)","41.3","1.2","129806","70","(X)","10935","499","8.4","0.4"
