"","Municipal","County","State","Region","Five_Year_Range","Civilian_Pop","Vet_Pop","Percent_Vet","Margin_Error_Percent"
"1",NA,"NA County",NA,"United States","2006-2010",228808831,22652496,9.9,0.1
"2",NA,"NA County",NA,"United States","2007-2011",231421987,22215303,9.6,0.1
"3",NA,"NA County",NA,"United States","2008-2012",234029580,21853912,9.3,0.1
"4",NA,"NA County","MA","MA","2006-2010",5039038,425979,8.5,0.1
"5",NA,"NA County","MA","MA","2007-2011",5083130,412617,8.1,0.1
"6",NA,"NA County","MA","MA","2008-2012",5138208,400874,7.8,0.1
"7","Abington","Plymouth County","MA","Abington","2006-2010",12004,1241,10.3,1.6
"8","Abington","Plymouth County","MA","Abington","2007-2011",12081,1195,9.9,1.9
"9","Abington","Plymouth County","MA","Abington","2008-2012",12157,1245,10.2,1.7
"10","Acton","Middlesex County","MA","Acton","2006-2010",14948,900,6,1.1
"11","Acton","Middlesex County","MA","Acton","2007-2011",15270,950,6.2,1.1
"12","Acton","Middlesex County","MA","Acton","2008-2012",15849,959,6.1,1.1
"13","Acushnet","Bristol County","MA","Acushnet","2006-2010",8113,825,10.2,2.2
"14","Acushnet","Bristol County","MA","Acushnet","2007-2011",8191,808,9.9,2.1
"15","Acushnet","Bristol County","MA","Acushnet","2008-2012",8361,813,9.7,2.1
"16","Adams","Berkshire County","MA","Adams","2006-2010",6603,818,12.4,2.1
"17","Adams","Berkshire County","MA","Adams","2007-2011",6611,707,10.7,2
"18","Adams","Berkshire County","MA","Adams","2008-2012",6615,712,10.8,2.3
"19","Agawam","Hampden County","MA","Agawam","2006-2010",22419,2957,13.2,1.5
"20","Agawam","Hampden County","MA","Agawam","2007-2011",22457,2580,11.5,1.3
"21","Agawam","Hampden County","MA","Agawam","2008-2012",22551,2483,11,1.4
"22","Alford","Berkshire County","MA","Alford","2006-2010",381,58,15.2,4
"23","Alford","Berkshire County","MA","Alford","2007-2011",433,56,12.9,4.1
"24","Alford","Berkshire County","MA","Alford","2008-2012",400,57,14.3,4.1
"25","Amesbury","Essex County","MA","Amesbury","2006-2010",12453,1216,9.8,1.5
"26","Amesbury","Essex County","MA","Amesbury","2007-2011",12598,1241,9.9,1.5
"27","Amesbury","Essex County","MA","Amesbury","2008-2012",12839,1126,8.8,1.6
"28","Amherst","Hampshire County","MA","Amherst","2006-2010",33817,917,2.7,0.6
"29","Amherst","Hampshire County","MA","Amherst","2007-2011",34052,902,2.6,0.5
"30","Amherst","Hampshire County","MA","Amherst","2008-2012",34691,806,2.3,0.6
"31","Andover","Essex County","MA","Andover","2006-2010",23841,1841,7.7,0.9
"32","Andover","Essex County","MA","Andover","2007-2011",24052,1784,7.4,0.9
"33","Andover","Essex County","MA","Andover","2008-2012",24640,1543,6.3,0.9
"34","Aquinnah","Dukes County","MA","Aquinnah","2006-2010",326,3,0.9,2
"35","Aquinnah","Dukes County","MA","Aquinnah","2007-2011",308,2,0.6,1.1
"36","Aquinnah","Dukes County","MA","Aquinnah","2008-2012",318,5,1.6,1.6
"37","Arlington","Middlesex County","MA","Arlington","2006-2010",33848,2071,6.1,0.9
"38","Arlington","Middlesex County","MA","Arlington","2007-2011",33700,1999,5.9,0.7
"39","Arlington","Middlesex County","MA","Arlington","2008-2012",33967,1971,5.8,0.7
"40","Ashburnham","Worcester County","MA","Ashburnham","2006-2010",4348,457,10.5,3.1
"41","Ashburnham","Worcester County","MA","Ashburnham","2007-2011",4365,439,10.1,3
"42","Ashburnham","Worcester County","MA","Ashburnham","2008-2012",4559,502,11,3.1
"43","Ashby","Middlesex County","MA","Ashby","2006-2010",2202,189,8.6,2.3
"44","Ashby","Middlesex County","MA","Ashby","2007-2011",2256,251,11.1,2.8
"45","Ashby","Middlesex County","MA","Ashby","2008-2012",2342,260,11.1,2.5
"46","Ashfield","Franklin County","MA","Ashfield","2006-2010",1352,124,9.2,2.9
"47","Ashfield","Franklin County","MA","Ashfield","2007-2011",1397,135,9.7,2.6
"48","Ashfield","Franklin County","MA","Ashfield","2008-2012",1327,111,8.4,2.8
"49","Ashland","Middlesex County","MA","Ashland","2006-2010",11859,952,8,1.4
"50","Ashland","Middlesex County","MA","Ashland","2007-2011",12146,955,7.9,1.6
"51","Ashland","Middlesex County","MA","Ashland","2008-2012",12430,896,7.2,1.5
"52","Athol","Worcester County","MA","Athol","2006-2010",8836,1197,13.5,2
"53","Athol","Worcester County","MA","Athol","2007-2011",8856,1109,12.5,1.9
"54","Athol","Worcester County","MA","Athol","2008-2012",8726,1040,11.9,1.7
"55","Attleboro","Bristol County","MA","Attleboro","2006-2010",33233,3067,9.2,1.1
"56","Attleboro","Bristol County","MA","Attleboro","2007-2011",33317,3093,9.3,1
"57","Attleboro","Bristol County","MA","Attleboro","2008-2012",33516,2948,8.8,1.2
"58","Auburn","Worcester County","MA","Auburn","2006-2010",12656,1436,11.3,1.4
"59","Auburn","Worcester County","MA","Auburn","2007-2011",12795,1372,10.7,1.7
"60","Auburn","Worcester County","MA","Auburn","2008-2012",12808,1347,10.5,1.4
"61","Avon","Norfolk County","MA","Avon","2006-2010",3412,399,11.7,3
"62","Avon","Norfolk County","MA","Avon","2007-2011",3411,368,10.8,2.9
"63","Avon","Norfolk County","MA","Avon","2008-2012",3495,404,11.6,3.3
"64","Ayer","Middlesex County","MA","Ayer","2006-2010",5782,746,12.9,4.1
"65","Ayer","Middlesex County","MA","Ayer","2007-2011",5943,756,12.7,3.8
"66","Ayer","Middlesex County","MA","Ayer","2008-2012",5917,690,11.7,3.3
