"","Municipal","County","State","Region"," Five_Year_Range"," Estimate; VETERAN STATUS - Civilian population 18 years and over"," Estimate; VETERAN STATUS - Civilian veterans"," Percent; VETERAN STATUS - Civilian veterans"," Percent Margin of Error; VETERAN STATUS - Civilian veterans"
"1",NA,"NA County",NA,"United States","2006-2010","228808831","22652496","9.9","0.1"
"2",NA,"NA County","MA","MA","2006-2010","5039038","425979","8.5","0.1"
"3",NA,"Barnstable County","MA","Barnstable County","2006-2010","177640","25566","14.4","0.4"
"4",NA,"Berkshire County","MA","Berkshire County","2006-2010","105100","11713","11.1","0.5"
"5",NA,"Bristol County","MA","Bristol County","2006-2010","421000","37276","8.9","0.3"
"6",NA,"Dukes County","MA","Dukes County","2006-2010","13005","1343","10.3","1.6"
"7",NA,"Essex County","MA","Essex County","2006-2010","561417","47802","8.5","0.2"
"8",NA,"Franklin County","MA","Franklin County","2006-2010","56982","6672","11.7","0.7"
"9",NA,"Hampden County","MA","Hampden County","2006-2010","350495","35687","10.2","0.3"
"10",NA,"Hampshire County","MA","Hampshire County","2006-2010","129806","10935","8.4","0.4"
"11",NA,"Middlesex County","MA","Middlesex County","2006-2010","1158304","83499","7.2","0.1"
"12",NA,"Nantucket County","MA","Nantucket County","2006-2010","7951","599","7.5","1.7"
"13",NA,"Norfolk County","MA","Norfolk County","2006-2010","509712","41798","8.2","0.2"
"14",NA,"Plymouth County","MA","Plymouth County","2006-2010","368950","38895","10.5","0.3"
"15",NA,"Suffolk County","MA","Suffolk County","2006-2010","577307","25698","4.5","0.2"
"16",NA,"Worcester County","MA","Worcester County","2006-2010","601369","58496","9.7","0.2"
"17","Barnstable","Barnstable County","MA","Barnstable","2006-2010","36976","4794","13","1"
"18","Bourne","Barnstable County","MA","Bourne","2006-2010","15199","2095","13.8","1.6"
"19","Brewster","Barnstable County","MA","Brewster","2006-2010","8195","1152","14.1","2.3"
"20","Chatham","Barnstable County","MA","Chatham","2006-2010","5383","875","16.3","2.4"
"21","Dennis","Barnstable County","MA","Dennis","2006-2010","11937","1839","15.4","2"
"22","Eastham","Barnstable County","MA","Eastham","2006-2010","4530","758","16.7","3.6"
"23","Falmouth","Barnstable County","MA","Falmouth","2006-2010","26452","4139","15.6","1.4"
"24","Harwich","Barnstable County","MA","Harwich","2006-2010","10187","1526","15","1.9"
"25","Mashpee","Barnstable County","MA","Mashpee","2006-2010","11162","1722","15.4","2.2"
"26","Orleans","Barnstable County","MA","Orleans","2006-2010","5339","984","18.4","3.4"
"27","Provincetown","Barnstable County","MA","Provincetown","2006-2010","2893","263","9.1","3.3"
"28","Sandwich","Barnstable County","MA","Sandwich","2006-2010","15096","1857","12.3","1.7"
"29","Truro","Barnstable County","MA","Truro","2006-2010","1547","289","18.7","5"
"30","Wellfleet","Barnstable County","MA","Wellfleet","2006-2010","2747","370","13.5","4"
"31","Yarmouth","Barnstable County","MA","Yarmouth","2006-2010","19997","2903","14.5","1.5"
"32","Adams","Berkshire County","MA","Adams","2006-2010","6603","818","12.4","2.1"
"33","Alford","Berkshire County","MA","Alford","2006-2010","381","58","15.2","4"
"34","Becket","Berkshire County","MA","Becket","2006-2010","1315","122","9.3","3.8"
"35","Cheshire","Berkshire County","MA","Cheshire","2006-2010","2651","280","10.6","3"
"36","Clarksburg","Berkshire County","MA","Clarksburg","2006-2010","1470","206","14","2.8"
"37","Dalton","Berkshire County","MA","Dalton","2006-2010","5177","618","11.9","2.5"
"38","Egremont","Berkshire County","MA","Egremont","2006-2010","1070","139","13","3.1"
"39","Florida","Berkshire County","MA","Florida","2006-2010","605","110","18.2","5.8"
"40","Great Barrington","Berkshire County","MA","Great Barrington","2006-2010","5820","621","10.7","2.6"
"41","Hancock","Berkshire County","MA","Hancock","2006-2010","503","76","15.1","5.2"
"42","Hinsdale","Berkshire County","MA","Hinsdale","2006-2010","1744","282","16.2","3.7"
