"","City/Town","Yes","No","Blank Votes","Total Votes Cast"
"1","Abington",2135,3689,89,5913
"2","Acton",4593,3994,149,8736
"3","Acushnet",890,2193,62,3145
"4","Adams",705,1451,82,2238
"5","Agawam",4046,6163,95,10304
"6","Alford",137,65,7,209
"7","Amesbury",2047,3766,132,5945
"8","Amherst",4950,2780,204,7934
"9","Andover",6683,6345,183,13211
"10","Aquinnah",127,68,5,200
"11","Arlington",10609,8553,579,19741
"12","Ashburnham",655,1506,33,2194
"13","Ashby",419,862,23,1304
"14","Ashfield",526,321,20,867
"15","Ashland",1949,3669,118,5736
"16","Athol",851,2456,66,3373
"17","Attleboro",3162,8826,307,12295
"18","Auburn",1726,4517,101,6344
"19","Avon",414,1243,43,1700
"20","Ayer",805,1643,42,2490
"21","Barnstable",7988,10321,463,18772
"22","Barre",566,1352,39,1957
"23","Becket",293,291,9,593
"24","Bedford",2863,2658,143,5664
"25","Belchertown",2022,3177,76,5275
"26","Bellingham",1317,4225,120,5662
"27","Belmont",5711,4406,228,10345
"28","Berkley",741,1354,38,2133
"29","Berlin",573,813,25,1411
"30","Bernardston",300,486,22,808
"31","Beverly",5770,8698,326,14794
"32","Billerica",4180,9873,181,14234
"33","Blackstone",684,2105,124,2913
"34","Blandford",202,309,4,515
"35","Bolton",1153,1104,37,2294
"36","Boston",66576,82266,12273,161115
"37","Bourne",2934,4472,142,7548
"38","Boxborough",1120,947,35,2102
"39","Boxford",1717,1934,44,3695
"40","Boylston",766,1285,24,2075
"41","Braintree",4645,9324,448,14417
"42","Brewster",2519,2284,143,4946
"43","Bridgewater",2528,5641,169,8338
"44","Brimfield",615,815,16,1446
"45","Brockton",5358,14478,1640,21476
"46","Brookfield",402,826,17,1245
"47","Brookline",10927,7300,622,18849
"48","Buckland",376,352,22,750
"49","Burlington",3422,5733,179,9334
"50","Cambridge",19099,11973,1653,32725
"51","Canton",3043,5563,168,8774
"52","Carlisle",1520,970,51,2541
"53","Carver",1321,2705,68,4094
"54","Charlemont",169,263,12,444
"55","Charlton",1357,3119,88,4564
"56","Chatham",1944,1560,102,3606
"57","Chelmsford",5328,8597,253,14178
"58","Chelsea",1891,2829,435,5155
"59","Cheshire",403,591,19,1013
"60","Chester",181,278,8,467
"61","Chesterfield",276,264,9,549
"62","Chicopee",5499,10288,284,16071
"63","Chilmark",379,118,14,511
"64","Clarksburg",207,347,16,570
"65","Clinton",1319,3036,118,4473
"66","Cohasset",1838,1686,95,3619
"67","Colrain",268,324,9,601
"68","Concord",5141,2917,216,8274
"69","Conway",521,427,12,960
"70","Cummington",245,173,7,425
"71","Dalton",871,1143,42,2056
"72","Danvers",3593,6390,177,10160
"73","Dartmouth",3595,5589,218,9402
"74","Dedham",3595,6016,284,9895
"75","Deerfield",1098,1116,46,2260
"76","Dennis",2855,4004,198,7057
"77","Dighton",809,1507,36,2352
"78","Douglas",848,2157,77,3082
"79","Dover",1498,1159,61,2718
"80","Dracut",2531,7870,229,10630
"81","Dudley",985,2501,57,3543
"82","Dunstable",522,858,14,1394
"83","Duxbury",3407,3479,133,7019
"84","E. Bridgewater",1210,3691,92,4993
"85","E. Brookfield",245,615,22,882
"86","E. Longmeadow",2546,3747,75,6368
"87","Eastham",1401,1374,53,2828
"88","Easthampton",2784,3382,99,6265
"89","Easton",2711,5462,114,8287
"90","Edgartown",904,750,62,1716
"91","Egremont",385,223,24,632
"92","Erving",146,363,10,519
"93","Essex",764,842,42,1648
"94","Everett",2235,6867,278,9380
"95","Fairhaven",1751,3290,193,5234
"96","Fall River",5137,10913,1191,17241
"97","Falmouth",6682,7351,394,14427
"98","Fitchburg",2357,6371,349,9077
"99","Florida",98,134,10,242
"100","Foxborough",2515,4461,83,7059
"101","Framingham",6782,11688,539,19009
"102","Franklin",3898,8197,172,12267
"103","Freetown",970,1883,62,2915
"104","Gardner",1426,4167,105,5698
"105","Georgetown",1237,2108,62,3407
"106","Gill",264,374,11,649
"107","Gloucester",4287,6539,344,11170
"108","Goshen",202,241,8,451
"109","Gosnold",30,15,1,46
"110","Grafton",2100,4280,183,6563
"111","Granby",958,1558,45,2561
"112","Granville",304,371,19,694
"113","Great Barrington",1532,1147,138,2817
"114","Greenfield",2260,3011,294,5565
"115","Groton",1852,2493,167,4512
"116","Groveland",1047,1782,43,2872
"117","Hadley",1116,1051,45,2212
"118","Halifax",921,1936,47,2904
"119","Hamilton",1617,1621,64,3302
"120","Hampden",907,1287,19,2213
"121","Hancock",123,108,12,243
"122","Hanover",2267,3879,124,6270
"123","Hanson",1264,2837,34,4135
"124","Hardwick",328,679,11,1018
"125","Harvard",1524,1125,66,2715
"126","Harwich",2719,3193,168,6080
"127","Hatfield",694,772,18,1484
"128","Haverhill",5416,12929,444,18789
"129","Hawley",71,74,1,146
"130","Heath",180,124,9,313
"131","Hingham",5174,5009,255,10438
"132","Hinsdale",262,398,20,680
"133","Holbrook",1177,3055,115,4347
"134","Holden",2811,5086,101,7998
"135","Holland",311,581,20,912
"136","Holliston",2905,3133,99,6137
"137","Holyoke",3920,6111,454,10485
"138","Hopedale",737,1595,63,2395
"139","Hopkinton",2898,3291,86,6275
"140","Hubbardston",583,1274,42,1899
"141","Hudson",2173,4828,163,7164
"142","Hull",1569,2637,113,4319
"143","Huntington",326,523,8,857
"144","Ipswich",2753,3267,129,6149
"145","Kingston",1923,3017,79,5019
"146","Lakeville",1682,2448,66,4196
"147","Lancaster",1173,1628,74,2875
"148","Lanesborough",404,509,37,950
"149","Lawrence",3761,8341,2202,14304
"150","Lee",831,926,70,1827
"151","Leicester",1210,2758,154,4122
"152","Lenox",1204,761,84,2049
"153","Leominster",3740,8530,359,12629
"154","Leverett",649,260,28,937
"155","Lexington",7843,5040,418,13301
"156","Leyden",182,185,5,372
"157","Lincoln",1840,866,83,2789
"158","Littleton",1690,2344,62,4096
"159","Longmeadow",3973,3310,72,7355
"160","Lowell",6477,13226,1565,21268
"161","Ludlow",2175,4366,108,6649
"162","Lunenburg",1346,2840,64,4250
"163","Lynn",5744,13694,1394,20832
"164","Lynnfield",2075,3206,104,5385
"165","Malden",5133,8539,553,14225
"166","Manchester-by-the-Sea",1396,1230,37,2663
"167","Mansfield",2595,5551,87,8233
"168","Marblehead",4764,4821,235,9820
"169","Marion",1102,1156,70,2328
"170","Marlborough",3734,7655,284,11673
"171","Marshfield",4264,6708,173,11145
"172","Mashpee",2416,3500,119,6035
"173","Mattapoisett",1313,1606,106,3025
"174","Maynard",1643,2568,104,4315
"175","Medfield",2415,2993,114,5522
"176","Medford",9075,9832,645,19552
"177","Medway",1753,3391,89,5233
"178","Melrose",5168,6415,249,11832
"179","Mendon",771,1684,28,2483
"180","Merrimac",895,1716,31,2642
"181","Methuen",3990,10077,302,14369
"182","Middleborough",2677,5281,169,8127
"183","Middlefield",91,121,6,218
"184","Middleton",1201,2173,62,3436
"185","Milford",2881,5977,407,9265
"186","Millbury",1313,3327,138,4778
"187","Millis",1142,2346,40,3528
"188","Millville",257,769,13,1039
"189","Milton",5156,6319,361,11836
"190","Monroe",4,30,2,36
"191","Monson",1225,1710,70,3005
"192","Montague",1220,1757,71,3048
"193","Monterey",235,121,11,367
"194","Montgomery",149,240,5,394
"195","Mount Washington",47,24,5,76
"196","Nahant",829,1013,44,1886
"197","Nantucket",1742,1862,120,3724
"198","Natick",5645,7768,267,13680
"199","Needham",6566,6526,319,13411
"200","New Ashford",47,58,3,108
"201","New Bedford",5376,11571,1005,17952
"202","New Braintree",148,285,5,438
"203","New Marlborough",320,222,15,557
"204","New Salem",233,220,9,462
"205","Newbury",1494,1819,55,3368
"206","Newburyport",3866,4219,200,8285
"207","Newton",17618,14303,1098,33019
"208","Norfolk",1556,2659,45,4260
"209","N. Adams",1206,2019,135,3360
"210","N. Andover",4171,6287,170,10628
"211","N. Attleborough",2433,6795,106,9334
"212","N. Brookfield",466,1285,39,1790
"213","N. Reading",2152,4047,72,6271
"214","Northampton",7307,4156,285,11748
"215","Northborough",2356,3821,130,6307
"216","Northbridge",1723,3698,94,5515
"217","Northfield",521,625,34,1180
"218","Norton",1543,4475,69,6087
"219","Norwell",2050,2670,100,4820
"220","Norwood",3498,6885,269,10652
"221","Oak Bluffs",839,900,80,1819
"222","Oakham",272,557,12,841
"223","Orange",682,1599,65,2346
"224","Orleans",2059,1335,94,3488
"225","Otis",244,321,23,588
"226","Oxford",1115,3333,67,4515
"227","Palmer",1639,2445,93,4177
"228","Paxton",632,1234,35,1901
"229","Peabody",5821,13162,540,19523
"230","Pelham",400,259,17,676
"231","Pembroke",2357,4816,91,7264
"232","Pepperell",1463,3046,74,4583
"233","Peru",108,178,1,287
"234","Petersham",304,327,16,647
"235","Phillipston",230,448,11,689
"236","Pittsfield",4840,6388,341,11569
"237","Plainfield",215,106,3,324
"238","Plainville",671,2688,45,3404
"239","Plymouth",7644,13675,276,21595
"240","Plympton",520,754,17,1291
"241","Princeton",738,1004,37,1779
"242","Provincetown",692,904,56,1652
"243","Quincy",9255,16402,1622,27279
"244","Randolph",2565,6337,522,9424
"245","Raynham",1297,3508,85,4890
"246","Reading",4621,6016,154,10791
"247","Rehoboth",1350,2399,111,3860
"248","Revere",4858,6344,465,11667
"249","Richmond",373,257,22,652
"250","Rochester",877,1333,36,2246
"251","Rockland",1656,4382,97,6135
"252","Rockport",1750,1857,100,3707
"253","Rowe",64,85,4,153
"254","Rowley",1060,1602,40,2702
"255","Royalston",179,352,12,543
"256","Russell",201,352,11,564
"257","Rutland",886,2326,48,3260
"258","Salem",4919,8121,389,13429
"259","Salisbury",904,2069,65,3038
"260","Sandisfield",129,134,6,269
"261","Sandwich",3830,5154,130,9114
"262","Saugus",3191,6729,158,10078
"263","Savoy",85,125,6,216
"264","Scituate",3654,4806,258,8718
"265","Seekonk",1495,2688,84,4267
"266","Sharon",2780,4191,134,7105
"267","Sheffield",600,522,38,1160
"268","Shelburne",428,344,39,811
"269","Sherborn",1108,878,43,2029
"270","Shirley",691,1552,35,2278
"271","Shrewsbury",4636,8607,262,13505
"272","Shutesbury",562,305,34,901
"273","Somerset",1977,4097,211,6285
"274","Somerville",12427,9509,908,22844
"275","S. Hadley",2641,3672,103,6416
"276","Southampton",1128,1556,22,2706
"277","Southborough",1814,2362,68,4244
"278","Southbridge",981,2737,151,3869
"279","Southwick",1331,2195,69,3595
"280","Spencer",1069,2860,74,4003
"281","Springfield",12019,21139,1217,34375
"282","Sterling",1390,2222,58,3670
"283","Stockbridge",566,308,50,924
"284","Stoneham",3212,5835,190,9237
"285","Stoughton",2569,6635,233,9437
"286","Stow",1480,1688,51,3219
"287","Sturbridge",1347,2263,36,3646
"288","Sudbury",3739,3700,132,7571
"289","Sunderland",592,630,10,1232
"290","Sutton",1257,2590,98,3945
"291","Swampscott",2692,3841,133,6666
"292","Swansea",1484,2960,104,4548
"293","Taunton",4488,10007,413,14908
"294","Templeton",700,1999,35,2734
"295","Tewksbury",3436,7834,142,11412
"296","Tisbury",928,674,55,1657
"297","Tolland",70,125,4,199
"298","Topsfield",1460,1642,81,3183
"299","Townsend",1049,2221,35,3305
"300","Truro",545,541,34,1120
"301","Tyngsborough",1262,3175,84,4521
"302","Tyringham",118,71,0,189
"303","Upton",1021,1883,83,2987
"304","Uxbridge",1530,3365,152,5047
"305","Wakefield",3838,6779,178,10795
"306","Wales",259,407,12,678
"307","Walpole",3790,6817,165,10772
"308","Waltham",6282,9901,588,16771
"309","Ware",980,1997,68,3045
"310","Wareham",2132,4922,136,7190
"311","Warren",525,1024,56,1605
"312","Warwick",135,217,7,359
"313","Washington",113,128,4,245
"314","Watertown",5656,5738,324,11718
"315","Wayland",3020,2731,150,5901
"316","Webster",1204,3171,90,4465
"317","Wellesley",6192,4677,362,11231
"318","Wellfleet",949,683,54,1686
"319","Wendell",262,146,11,419
"320","Wenham",838,816,58,1712
"321","W. Boylston",1022,2093,50,3165
"322","W. Bridgewater",807,1993,65,2865
"323","W. Brookfield",495,921,16,1432
"324","W. Newbury",991,1138,32,2161
"325","W. Springfield",3924,4460,88,8472
"326","W. Stockbridge",379,268,30,677
"327","W. Tisbury",857,516,64,1437
"328","Westborough",2736,3555,172,6463
"329","Westfield",4501,8022,291,12814
"330","Westford",4022,5148,133,9303
"331","Westhampton",403,413,12,828
"332","Westminster",935,2094,56,3085
"333","Weston",2644,1998,89,4731
"334","Westport",2129,3166,209,5504
"335","Westwood",3074,3642,176,6892
"336","Weymouth",6410,13515,391,20316
"337","Whately",348,391,9,748
"338","Whitman",1363,3780,62,5205
"339","Wilbraham",2343,3688,133,6164
"340","Williamsburg",760,479,18,1257
"341","Williamstown",1616,823,85,2524
"342","Wilmington",2768,6137,157,9062
"343","Winchendon",666,2049,66,2781
"344","Winchester",5051,4566,167,9784
"345","Windsor",158,6,165,329
"346","Winthrop",2927,3470,139,6536
"347","Woburn",4471,9106,321,13898
"348","Worcester",11699,25118,2162,38979
"349","Worthington",325,263,7,595
"350","Wrentham",1514,3044,60,4618
"351","Yarmouth",4124,5767,305,10196
"352","TOTALS",845880,1271404,69507,2186789
