"","City/Town","Yes","No","Blank Votes","Total Votes Cast"
"1","Abington",4399,4179,334,8912
"2","Acton",3176,9266,525,12967
"3","Acushnet",2645,2408,619,5672
"4","Adams",2057,1841,182,4080
"5","Agawam",4805,9514,558,14877
"6","Alford",52,236,19,307
"7","Amesbury",3905,5056,441,9402
"8","Amherst",3583,10695,788,15066
"9","Andover",5746,13074,752,19572
"10","Aquinnah",50,227,10,287
"11","Arlington",6098,19975,1198,27271
"12","Ashburnham",1657,1624,118,3399
"13","Ashby",896,979,58,1933
"14","Ashfield",204,909,42,1155
"15","Ashland",3482,5512,332,9326
"16","Athol",2494,2326,236,5056
"17","Attleboro",9872,10281,728,20881
"18","Auburn",4239,4884,332,9455
"19","Avon",1244,1081,187,2512
"20","Ayer",1934,2073,169,4176
"21","Barnstable",9092,15870,1418,26380
"22","Barre",1396,1424,116,2936
"23","Becket",364,596,87,1047
"24","Bedford",2080,5684,302,8066
"25","Belchertown",2596,5370,452,8418
"26","Bellingham",4446,4240,296,8982
"27","Belmont",3309,10727,655,14691
"28","Berkley",1507,2010,162,3679
"29","Berlin",643,1284,39,1966
"30","Bernardston",383,795,66,1244
"31","Beverly",8927,12551,935,22413
"32","Billerica",10444,10964,950,22358
"33","Blackstone",2417,2070,136,4623
"34","Blandford",249,454,14,717
"35","Bolton",926,2330,89,3345
"36","Boston",90862,153569,32935,277366
"37","Bourne",4947,5444,644,11035
"38","Boxborough",812,2172,85,3069
"39","Boxford",1685,3387,136,5208
"40","Boylston",1106,1671,84,2861
"41","Braintree",8479,11156,991,20626
"42","Brewster",1861,4600,354,6815
"43","Bridgewater",5913,6576,651,13140
"44","Brimfield",711,1364,51,2126
"45","Brockton",15340,16621,4524,36485
"46","Brookfield",805,931,91,1827
"47","Brookline",6227,21838,1615,29680
"48","Buckland",300,729,38,1067
"49","Burlington",5210,8261,748,14219
"50","Cambridge",11101,38415,3766,53282
"51","Canton",4763,7592,815,13170
"52","Carlisle",627,2669,95,3391
"53","Carver",3000,3045,322,6367
"54","Charlemont",247,467,21,735
"55","Charlton",3309,3728,304,7341
"56","Chatham",1211,3214,218,4643
"57","Chelmsford",7928,11760,754,20442
"58","Chelsea",3831,4754,1448,10033
"59","Cheshire",869,927,95,1891
"60","Chester",251,430,15,696
"61","Chesterfield",204,534,30,768
"62","Chicopee",8917,13460,2164,24541
"63","Chilmark",84,667,37,788
"64","Clarksburg",462,404,30,896
"65","Clinton",3432,3567,238,7237
"66","Cohasset",1371,3498,171,5040
"67","Colrain",272,638,24,934
"68","Concord",2096,8928,423,11447
"69","Conway",250,960,25,1235
"70","Cummington",124,429,14,567
"71","Dalton",1382,1879,222,3483
"72","Danvers",6448,8418,740,15606
"73","Dartmouth",7012,8453,1138,16603
"74","Dedham",5236,8617,773,14626
"75","Deerfield",811,2164,120,3095
"76","Dennis",3238,5678,516,9432
"77","Dighton",1779,2127,216,4122
"78","Douglas",2417,2357,201,4975
"79","Dover",835,2675,162,3672
"80","Dracut",8763,6932,742,16437
"81","Dudley",2564,2675,248,5487
"82","Dunstable",862,1112,61,2035
"83","Duxbury",3059,6768,269,10096
"84","E. Bridgewater",3983,3568,464,8015
"85","E. Brookfield",595,567,55,1217
"86","E. Longmeadow",2549,6222,564,9335
"87","Eastham",1089,2480,133,3702
"88","Easthampton",2722,6666,408,9796
"89","Easton",5208,7306,497,13011
"90","Edgartown",734,1897,179,2810
"91","Egremont",178,622,45,845
"92","Erving",358,438,38,834
"93","Essex",782,1461,61,2304
"94","Everett",4827,7891,1505,14223
"95","Fairhaven",4013,4185,555,8753
"96","Fall River",15144,11019,4660,30823
"97","Falmouth",6126,13263,885,20274
"98","Fitchburg",7871,6850,958,15679
"99","Florida",163,213,24,400
"100","Foxborough",3660,6109,575,10344
"101","Framingham",11256,17075,1697,30028
"102","Franklin",7013,10686,734,18433
"103","Freetown",2205,2604,268,5077
"104","Gardner",4163,4126,473,8762
"105","Georgetown",2087,2827,188,5102
"106","Gill",619,292,42,953
"107","Gloucester",6652,9205,851,16708
"108","Goshen",161,464,13,638
"109","Gosnold",13,56,2,71
"110","Grafton",4031,5827,429,10287
"111","Granby",1277,2301,163,3741
"112","Granville",320,641,25,986
"113","Great Barrington",979,2606,179,3764
"114","Greenfield",2684,5257,756,8697
"115","Groton",2445,4177,190,6812
"116","Groveland",1840,2155,130,4125
"117","Hadley",720,2431,162,3313
"118","Halifax",2116,2224,179,4519
"119","Hamilton",1434,3200,128,4762
"120","Hampden",952,2062,103,3117
"121","Hancock",141,245,11,397
"122","Hanover",3411,5094,333,8838
"123","Hanson",2780,3014,364,6158
"124","Hardwick",619,751,51,1421
"125","Harvard",829,2826,121,3776
"126","Harwich",2785,5431,356,8572
"127","Hatfield",569,1496,87,2152
"128","Haverhill",15167,12557,2405,30129
"129","Hawley",66,137,3,206
"130","Heath",127,318,14,459
"131","Hingham",4047,10210,598,14855
