"","muni","lon","lat"
"1","Abington",-70.9633894860891,42.1190986139902
"2","Acton",-71.4575404047637,42.4457945525854
"3","Acushnet",-70.8940820135397,41.7128593655831
"4","Adams",-73.1845719583619,42.3863562133576
"5","Agawam",-72.7842582297769,42.1394863873621
"6","Alford",-73.4134456,42.2356442
"7","Amesbury",-70.9513756094564,42.8549491188136
"8","Amherst",-72.4707469702861,42.3664052230816
"9","Andover",-71.1614845384,42.6498996291743
"10","Aquinnah",-70.8007864,41.3352369
"11","Arlington",-71.2007143660461,42.3793205046917
"12","Ashburnham",-71.9373719573842,42.6530112993284
"13","Ashby",-71.4763311941966,42.445497919258
"14","Ashfield",-72.7343911746044,42.5626204616485
"15","Ashland",-71.4786725593775,42.4472736616873
"16","Athol",-72.2019862866021,42.5482758948317
"17","Attleboro",-71.3118435579908,41.9371992871363
"18","Auburn",-71.9530671799589,42.1850989758987
"19","Avon",-71.0419802879225,42.1280411289021
"20","Ayer",-71.4751558937642,42.4481523805673
"21","Barnstable",-70.2937127646177,41.6972649331828
"22","Barre",-72.1204592994546,42.3289214194592
"23","Becket",-73.1201592650317,42.3414209438471
"24","Bedford",-71.4613314006708,42.4452108510335
"25","Belchertown",-72.3946667285079,42.2813430390153
"26","Bellingham",-71.4747113931238,42.0770994971123
"27","Belmont",-71.2052414934465,42.4133873511451
"28","Berkley",-71.0543839735559,41.8288023803171
"29","Berlin",-71.8606711331108,42.3137889028719
"30","Bernardston",-72.6355557170675,42.6266609534169
"31","Beverly",-70.8633826262221,42.5668393743918
"32","Billerica",-71.4766366930909,42.4451262371142
"33","Blackstone",-71.8170158279108,42.1129807965916
"34","Blandford",-72.952524911125,42.1771350243822
"35","Bolton",-71.5956795255381,42.4378068411336
"36","Boston",-71.0835777403005,42.285754307894
"37","Bourne",-70.5989325,41.7412773
"38","Boxborough",-71.4712499759018,42.4447137859858
"39","Boxford",-71.0336092930688,42.6826461563762
"40","Boylston",-71.9616390219772,42.2989724451783
"41","Braintree",-71.0020879174398,42.2013937896443
"42","Brewster",-70.0321025772287,41.8522117973329
"43","Bridgewater",-70.9715963295398,41.9744581758544
"44","Brimfield",-72.1896867924477,42.1103046527924
"45","Brockton",-71.0446266560459,42.0784267433665
"46","Brookfield",-72.0953204573226,42.1928116885094
"47","Brookline",-71.1629037707703,42.3187786670168
"48","Buckland",-72.7642147392168,42.5753241862511
"49","Burlington",-71.2119680501587,42.5062972497339
"50","Cambridge",-71.0665617957345,42.3611964407499
"51","Canton",-71.1243584866649,42.1785704793756
"52","Carlisle",-71.446660939683,42.446586858609
"53","Carver",-70.7440468648753,41.8948612338613
"54","Charlemont",-72.6670143157754,42.5955985701844
"55","Charlton",-71.9697691210282,42.1326217862679
"56","Chatham",-70.031065870424,41.8594777044781
"57","Chelmsford",-71.4700408394586,42.4460100009575
"58","Chelsea",-71.0535624621554,42.3768661658571
"59","Cheshire",-73.1210106963375,42.4824703979474
"60","Chester",-72.9358626893846,42.2927761005344
"61","Chesterfield",-72.8323163933094,42.392323875509
"62","Chicopee",-72.6689224080462,42.1634162981318
"63","Chilmark",-70.6531832356579,41.3791823641369
"64","Clarksburg",-73.092685,42.7170314
"65","Clinton",-71.6864262076392,42.4130197252305
"66","Cohasset",-70.8283995690445,42.2320077315717
"67","Colrain",-72.8076482559056,42.6801822222854
"68","Concord",-71.4416961928315,42.4483823291644
"69","Conway",-72.696425991731,42.5919754726533
"70","Cummington",-72.9038526764326,42.4290164179331
"71","Dalton",-73.0791103387017,42.4686798152848
"72","Danvers",-70.959647759444,42.5758284216224
"73","Dartmouth",-70.9704787,41.6130323
"74","Dedham",-71.1934106670424,42.2463415233893
"75","Deerfield",-72.5947774785259,42.5459116263068
"76","Dennis",-70.0866498071374,41.7267524865521
"77","Dighton",-71.1570838224604,41.8186940497179
"78","Douglas",-71.8813589610136,42.1144378156761
"79","Dover",-71.2792490376843,42.2349775685816
"80","Dracut",-71.4772847935415,42.444717836832
"81","Dudley",-71.9505186066735,42.0592089006973
"82","Dunstable",-71.4628416008546,42.4445287460548
"83","Duxbury",-70.705374149665,42.0545960634431
"84","East Bridgewater",-70.9422128276398,42.0222316538602
"85","East Brookfield",-72.0548468901221,42.2071813156812
"86","East Longmeadow",-72.492892396014,42.0637784130233
"87","Eastham",-70.0157045896276,41.8510663116502
"88","Easthampton",-72.7626440084096,42.3683158106708
"89","Easton",-71.1286594,42.0245442
"90","Edgartown",-70.5321840348714,41.4016100261258
"91","Egremont",-73.4415929,42.1777247
"92","Erving",-72.5340433048875,42.6268842101724
"93","Essex",-70.7644687918393,42.6260360829536
"94","Everett",-71.0323121882582,42.408254106602
"95","Fairhaven",-70.8575408757963,41.6307358665212
"96","Fall River",-71.165525822727,41.6795293722111
"97","Falmouth",-70.4813348222167,41.6148404062474
"98","Fitchburg",-71.8035794380335,42.5833210659174
"99","Florida",-73.0112117,42.66675
"100","Foxborough",-71.2478251,42.0653812
"101","Framingham",-71.4725909100889,42.4458907381336
"102","Franklin",-71.4212588316768,42.0906401197131
"103","Freetown",-71.014118,41.7619708
"104","Gardner",-72.0086058823042,42.5811483895545
"105","Georgetown",-70.9755993177719,42.7226625043205
"106","Gill",-72.4996367,42.6408105
"107","Gloucester",-70.7090568390698,42.6301893096548
"108","Goshen",-72.808733410751,42.4438045849257
"109","Gosnold",-70.8357792,41.4521063
"110","Grafton",-71.7017344561036,42.2050424848551
"111","Granby",-72.4991050019701,42.2610563812478
"112","Granville",-72.9509523479021,42.1128919238908
"113","Great Barrington",-73.2732961526416,42.3007926592184
"114","Greenfield",-72.6073053647215,42.5994551091437
"115","Groton",-71.4767990080218,42.4481707200681
"116","Groveland",-71.0376349978066,42.7501246820679
"117","Hadley",-72.5677919132748,42.3559649034035
"118","Halifax",-70.8499399759474,41.987467988482
"119","Hamilton",-70.8431049,42.6362052
"120","Hampden",-72.4028514949351,42.0674248331319
"121","Hancock",-73.3237182,42.543138
"122","Hanover",-70.8555157755516,42.1221547076609
"123","Hanson",-70.8787664013237,42.0574858920785
"124","Hardwick",-72.2432192014324,42.3478386497948
"125","Harvard",-71.5769372064396,42.5010388921304
"126","Harwich",-70.0470109519985,41.8373902533767
"127","Hatfield",-72.6499365921595,42.3861041974245
"128","Haverhill",-71.0902377237613,42.7517204373213
"129","Hawley",-72.9132446,42.605083
"130","Heath",-72.7715378130286,42.6163435599125
"131","Hingham",-70.9046093221939,42.2130941548287
"132","Hinsdale",-73.2220103392018,42.290782244414
"133","Holbrook",-70.9946480697592,42.1438635711636
"134","Holden",-71.8557198881231,42.3385949869675
"135","Holland",-72.1469652392525,42.0591006854632
"136","Holliston",-71.4752015047657,42.4463894791224
"137","Holyoke",-72.6340531018895,42.1973769291665
"138","Hopedale",-71.5137759762106,42.1266527479164
"139","Hopkinton",-71.4772867844763,42.4467189076443
"140","Hubbardston",-72.0121270949535,42.4850728396685
"141","Hudson",-71.4402278803705,42.4483117325169
"142","Hull",-70.8569623906296,42.2833574909403
"143","Huntington",-72.8942020285845,42.3140335333327
"144","Ipswich",-70.8557449581816,42.6849787389432
"145","Kingston",-70.7376551862516,41.9803786767877
"146","Lakeville",-70.9514725799722,41.8452654716147
"147","Lancaster",-71.9206573671088,42.4265313801988
"148","Lanesborough",-73.2281596,42.5173058
"149","Lawrence",-71.1559018856369,42.7063485311979
"150","Lee",-73.2773581621388,42.3691791906872
"151","Leicester",-72.0147324466699,42.236534737765
"152","Lenox",-73.2261080427011,42.4580922783571
"153","Leominster",-71.8492985788606,42.4730944948815
"154","Leverett",-72.4761416494087,42.4756926307549
"155","Lexington",-71.2241936058554,42.4437724133937
"156","Leyden",-72.6300909,42.7000837
"157","Lincoln",-71.4645756547197,42.4478445708913
"158","Littleton",-71.4553388646755,42.4468513641807
"159","Longmeadow",-72.5721022196829,42.0504485066532
"160","Lowell",-71.444569265288,42.4453027312321
"161","Ludlow",-72.6410556825598,42.1751658266032
"162","Lunenburg",-71.7367387517758,42.5817226910939
"163","Lynn",-70.9709997356752,42.4697031354247
"164","Lynnfield",-71.0182940437604,42.5354514040865
"165","Malden",-71.1023262613288,42.4350918070051
"166","Manchester-by-the-Sea",-70.7675967,42.577834
"167","Mansfield",-71.2143088435776,42.0132425447916
"168","Marblehead",-70.766251511081,42.5611479677018
"169","Marion",-70.7533181204864,41.7375415500371
"170","Marlborough",-71.440226673274,42.4452141021474
"171","Marshfield",-70.717596128692,42.1099580552413
"172","Mashpee",-70.2676958124548,41.7873137506868
"173","Mattapoisett",-70.8006245273178,41.6642021450402
"174","Maynard",-71.4458951106711,42.4454050357335
"175","Medfield",-71.2921228136398,42.1823962930528
"176","Medford",-71.1095286618152,42.4207544905704
"177","Medway",-71.4162999301658,42.1549266324624
"178","Melrose",-71.0568517766197,42.4599493388328
"179","Mendon",-71.5386353973549,42.1018854047545
"180","Merrimac",-71.0941825251285,42.8016829996103
"181","Methuen",-71.19745037542,42.7300255630064
"182","Middleborough",-70.9107708,41.8929942
"183","Middlefield",-73.0151011,42.3484207
"184","Middleton",-71.0720704316336,42.6435453568541
"185","Milford",-71.5189505813336,42.1479340359221
"186","Millbury",-71.8137758426358,42.2548839908373
"187","Millis",-71.3532533654461,42.1645799130436
"188","Millville",-71.8555927841775,42.1228251276263
"189","Milton",-71.0588844070612,42.2394301395665
"190","Monroe",-73.0051055,42.7143925
"191","Monson",-72.2688045321059,42.0969093010036
"192","Montague",-72.4944629013076,42.5464509286714
"193","Monterey",-73.2179568675089,42.1868605335388
"194","Montgomery",-72.8050954,42.2067573
"195","Mount Washington",-73.4516852,42.0850246
"196","Nahant",-70.9420278514588,42.4274475879463
"197","Nantucket",-70.0907578979988,41.2876656786083
"198","Natick",-71.4418097793634,42.4464667706762
"199","Needham",-71.2591349815758,42.2792412871045
"200","New Ashford",-73.2395502,42.605082
"201","New Bedford",-70.9338014573642,41.6087531543548
"202","New Braintree",-72.1190421581051,42.3213342818524
"203","New Marlborough",-73.2529464,42.1111825
"204","New Salem",-72.5377352980642,42.5189284300512
"205","Newbury",-70.8807772102642,42.7781738831129
"206","Newburyport",-70.8695721703391,42.8107827941772
"207","Newton",-71.2111533951757,42.3838957953007
"208","Norfolk",-71.3424065626137,42.1194134779452
"209","North Adams",-73.1698626914599,42.4261345633237
